x,y,z
0.0,44.0,-979.0
0.0,81.0,-1134.0
50.0,52.0,-1177.0
13.0,105.0,-1143.0
-29.0,42.0,-1100.0
78.0,-25.0,-1044.0
-9.0,-87.0,-905.0
-40.0,-27.0,-831.0
-5.0,5.0,-954.0
-37.0,103.0,-1110.0
87.0,29.0,-1204.0
-39.0,167.0,-1141.0
-13.0,74.0,-1122.0
54.0,-52.0,-1067.0
-64.0,-58.0,-936.0
-56.0,-5.0,-823.0
-39.0,33.0,-946.0
-68.0,105.0,-1116.0
95.0,56.0,-1194.0
-101.0,126.0,-1143.0
19.0,39.0,-1155.0
11.0,37.0,-1046.0
-1.0,-83.0,-960.0
-58.0,-29.0,-827.0
-50.0,42.0,-903.0
-1.0,74.0,-1110.0
25.0,64.0,-1196.0
-35.0,144.0,-1145.0
3.0,50.0,-1132.0
-29.0,31.0,-1052.0
7.0,-105.0,-1015.0
-74.0,3.0,-817.0
-44.0,33.0,-925.0
-9.0,76.0,-1106.0
7.0,81.0,-1179.0
-11.0,74.0,-1161.0
-17.0,122.0,-1132.0
-11.0,35.0,-1083.0
23.0,-121.0,-970.0
-107.0,25.0,-808.0
27.0,-7.0,-925.0
-40.0,95.0,-1044.0
44.0,97.0,-1182.0
-9.0,66.0,-1167.0
-35.0,128.0,-1104.0
21.0,-9.0,-1087.0
-7.0,-74.0,-995.0
-85.0,11.0,-829.0
29.0,-9.0,-895.0
-81.0,101.0,-1030.0
60.0,33.0,-1210.0
-37.0,103.0,-1126.0
0.0,140.0,-1124.0
27.0,-3.0,-1116.0
0.0,-78.0,-977.0
-42.0,-72.0,-833.0
-29.0,7.0,-860.0
-19.0,101.0,-1028.0
52.0,40.0,-1179.0
-39.0,87.0,-1138.0
40.0,105.0,-1112.0
0.0,25.0,-1087.0
25.0,-56.0,-997.0
-37.0,-70.0,-841.0
-39.0,3.0,-854.0
-3.0,23.0,-1011.0
33.0,95.0,-1163.0
-37.0,113.0,-1171.0
70.0,85.0,-1120.0
-25.0,64.0,-1097.0
72.0,-89.0,-1013.0
-33.0,-91.0,-829.0
0.0,19.0,-853.0
-17.0,46.0,-976.0
58.0,83.0,-1159.0
-5.0,58.0,-1167.0
46.0,97.0,-1097.0
