x,y,z
7,17,-1036
-1,19,-1024
-7,1,-1056
-9,44,-1038
13,-13,-1032
-1,31,-1040
1,-5,-1016
11,-1,-1022
0,29,-1028
17,-9,-1032
9,37,-1036
5,-5,-1028
1,19,-1038
9,3,-1022
9,-11,-1044
-7,23,-1026
3,-23,-1032
-9,39,-1036
-5,0,-1032
9,9,-1048
15,11,-1015
31,-13,-1050
3,27,-1026
-3,-7,-1034
-1,17,-1028
13,19,-1018
46,5,-1030
19,27,-1032
29,-23,-1026
-7,29,-1022
9,-13,-1022
-25,9,-1052
-25,11,-1028
1,-11,-1050
3,42,-1036
19,-17,-1048
3,9,-1040
5,0,-1024
19,3,-1034
21,35,-1020
31,-9,-1052
-11,31,-1042
-15,-21,-1030
-9,7,-1034
-21,5,-1024
5,5,-1040
3,50,-1015
25,11,-1028
1,44,-1030
-1,-5,-1007
7,-1,-1028
-11,5,-997
19,-33,-1018
-13,42,-1022
-7,-3,-1030
-19,19,-1038
-5,-1,-1016
17,-9,-1050
15,31,-1013
21,-15,-1042
-3,42,-1028
9,-3,-1038
0,25,-1048
-3,19,-1034
19,-9,-1048
3,46,-1030
21,-7,-1046
-3,37,-1050
9,21,-1032
19,9,-1040
9,23,-1022
7,-19,-1032
-9,25,-1032
-1,-15,-1030
1,21,-1044
0,13,-1026
23,-9,-1040
9,33,-1022
21,-17,-1034
0,27,-1032
9,7,-1028
17,19,-1038
5,17,-1036
21,-25,-1042
11,29,-1024
7,-9,-1028
9,35,-1048
13,15,-1018
21,-3,-1030
7,19,-1016
17,-23,-1038
-3,27,-1036
3,-37,-1030
3,7,-1042
-9,15,-1024
1,-29,-1040
0,29,-1022
21,-15,-1026
11,27,-1032
17,-7,-1028
17,-3,-1048
3,5,-1011
21,-33,-1032
-11,33,-1040
-3,-7,-1040
0,9,-1059
-9,-9,-1030
3,-19,-1048
-11,33,-1034
11,-5,-1046
9,33,-1028
25,-7,-1030
19,1,-1040
-5,15,-1022
-3,-17,-1048
-11,37,-1026
5,-15,-1026
7,25,-1032
-1,15,-1020
7,1,-1032
-1,35,-1015
21,-13,-1030
19,60,-1036
23,7,-1030
9,23,-1030
-7,17,-1030
7,-7,-1036
-11,27,-1016
9,-11,-1032
-15,35,-1042
-5,9,-1024
9,5,-1050
3,33,-1028
29,-9,-1040
9,40,-1034
3,-3,-1020
11,27,-1036
9,11,-1009
19,-29,-1048
-25,13,-1044
-19,-3,-1052
-13,48,-1036
0,13,-1016
9,3,-1026
9,23,-1015
25,-25,-1026
5,13,-1015
15,-37,-1024
-11,17,-1034
-11,5,-1018
3,-1,-1046
7,13,-1009
29,-25,-1038
3,19,-1032
-3,-25,-1036
-7,17,-1048
5,21,-1026
15,-7,-1034
9,33,-1028
19,-27,-1048
-13,15,-1057
-15,-11,-1048
1,9,-1048
-1,42,-1020
21,-11,-1032
13,23,-1040
11,-17,-1038
-5,15,-1050
-7,17,-1030
9,-3,-1038
7,40,-1024
15,-13,-1036
-1,23,-1048
-7,-13,-1022
7,1,-1026
0,23,-1003
19,-5,-1040
-9,35,-1028
0,0,-1028
7,29,-1022
5,3,-1009
19,0,-1030
5,29,-1011
15,0,-1028
1,54,-1024
-7,1,-1022
-3,7,-1038
3,25,-1020
23,-9,-1046
-1,48,-1036
1,-7,-1040
9,31,-1026
19,5,-1022
21,3,-1054
0,37,-1034
13,-31,-1042
1,27,-1046
9,-17,-1046
0,27,-1050
-1,27,-1038
0,1,-1048
-1,29,-1020
9,-31,-1034
-1,13,-1026
11,-5,-1018
17,9,-1038
0,23,-1020
-1,-9,-1040
-9,46,-1022
0,-13,-1020
0,21,-1028
11,-7,-1018
17,-7,-1044
-1,31,-1028
-9,-17,-1042
-15,35,-1038
17,-25,-1026
17,9,-1046
9,1,-1036
-1,-17,-1046
0,44,-1030
19,-15,-1032
1,31,-1046
-5,3,-1018
-7,-1,-1034
0,27,-1005
27,-33,-1038
-19,29,-1038
-9,-9,-1026
-13,13,-1044
-7,17,-1018
15,-23,-1042
3,13,-1028
19,-27,-1046
11,31,-1046
13,3,-1026
11,1,-1050
-5,15,-1028
11,-9,-1032
5,29,-1034
17,-9,-1032
11,37,-1046
3,17,-1024
11,5,-1044
0,17,-1018
-1,-21,-1040
-9,33,-1018
0,-9,-1020
9,15,-1036
0,15,-1015
15,-9,-1040
7,42,-1018
17,-21,-1044
9,23,-1028
5,-5,-1022
17,3,-1040
11,46,-1024
21,-5,-1054
-15,44,-1040
5,-15,-1038
0,25,-1048
0,15,-1024
15,1,-1044
11,48,-1026
25,-3,-1046
7,46,-1038
13,3,-1026
5,5,-1028
-3,17,-1003
17,-9,-1028
7,40,-1007
17,-9,-1024
-7,23,-1040
-11,7,-1009
9,-3,-1036
3,39,-1024
25,-19,-1044
13,37,-1040
13,-3,-1042
15,13,-1050
9,13,-1020
19,-5,-1042
-13,31,-1028
3,-21,-1044
1,27,-1032
9,-5,-1024
-9,1,-1052
-23,13,-1020
0,-19,-1046
-5,29,-1026
0,-33,-1032
1,11,-1038
3,15,-1009
19,-9,-1040
3,25,-1034
9,-42,-1046
1,19,-1026
0,-3,-1020
11,9,-1046
0,5,-1016
11,-7,-1054
-5,39,-1034
-1,-23,-1036
-9,23,-1032
-13,-5,-1015
5,0,-1040
-9,39,-1038
13,-9,-1036
-1,29,-1040
15,-13,-1018
9,9,-1026
0,9,-1011
3,-9,-1044
-1,39,-1018
21,-17,-1016
7,27,-1032
13,0,-1028
5,21,-1044
7,29,-1026
25,-5,-1050
9,44,-1022
13,-5,-1030
11,29,-1036
19,15,-1015
1,-3,-1052
-19,29,-1032
-3,-11,-1034
3,42,-1030
21,5,-1026
13,15,-1054
7,29,-1020
23,-13,-1040
7,44,-1022
21,-21,-1020
13,25,-1030
5,3,-1030
7,7,-1052
-3,31,-1040
21,-17,-1050
-5,31,-1038
11,-11,-1024
5,17,-1040
0,15,-1018
15,-19,-1024
9,15,-1009
19,-42,-1026
-17,3,-1040
-21,3,-1022
1,11,-1050
1,40,-1018
23,-19,-1036
9,17,-1026
27,-25,-1020
7,19,-1044
0,19,-1030
5,0,-1056
0,29,-1030
5,-37,-1036
-3,19,-1046
9,-11,-1040
5,9,-1040
5,40,-1022
19,-13,-1034
5,27,-1022
13,-13,-1028
19,17,-1038
1,1,-1024
0,-7,-1040
-19,19,-1016
0,-29,-1030
-5,25,-1022
-1,-19,-1030
13,1,-1032
15,13,-1013
21,-1,-1040
1,42,-1030
5,-13,-1040
-7,21,-1028
-7,-1,-1018
19,3,-1046
3,27,-1028
9,-9,-1044
11,46,-1034
21,-13,-1048
13,17,-1044
9,3,-1015
0,-13,-1048
-3,42,-1020
17,-13,-1038
5,42,-1038
11,9,-1018
5,7,-1057
-1,13,-1022
19,-29,-1030
7,35,-1020
23,1,-1026
-7,29,-1042
-13,19,-1022
9,-7,-1040
7,23,-1018
29,-19,-1040
-13,27,-1034
9,-5,-1026
11,13,-1040
11,21,-1018
21,-13,-1040
-11,25,-1020
1,-19,-1016
9,23,-1036
21,-5,-1024
-5,11,-1052
-19,39,-1028
-7,-15,-1057
-1,40,-1036
13,-21,-1038
17,5,-1050
17,3,-1026
19,-3,-1050
5,42,-1028
0,-13,-1036
-13,31,-1038
11,-13,-1018
19,1,-1042
-1,23,-1024
0,-9,-1030
1,42,-1011
19,-13,-1011
1,7,-1034
-7,-17,-1020
3,-21,-1044
-7,25,-1016
21,-15,-1046
9,27,-1050
-1,0,-1032
13,13,-1044
9,19,-1013
21,-7,-1050
1,21,-1038
7,-23,-1036
0,27,-1036
13,1,-1022
-7,5,-1059
-21,25,-1028
-1,-27,-1050
-11,35,-1026
13,-25,-1016
9,11,-1026
11,17,-1011
15,-3,-1050
-11,40,-1036
1,-23,-1034
9,33,-1032
9,0,-1022
13,5,-1036
3,27,-1018
23,-7,-1034
11,40,-1040
21,-13,-1034
0,7,-1042
-5,9,-1030
21,1,-1038
3,44,-1026
11,5,-1038
3,31,-1020
0,-15,-1020
11,5,-1036
0,27,-1009
11,0,-1032
-3,48,-1013
5,-7,-1026
-21,27,-1046
-21,-7,-1034
0,0,-1038
9,33,-1022
31,-15,-1036
15,42,-1056
23,-13,-1040
1,15,-1050
3,3,-1030
15,-5,-1052
9,31,-1022
27,-7,-1052
0,44,-1026
0,-5,-1032
-5,1,-1034
-15,13,-1005
9,-21,-1034
-5,33,-1015
-3,-15,-1016
-11,15,-1034
3,-3,-1005
9,-9,-1024
7,7,-1018
13,-31,-1032
1,29,-1034
13,-3,-1030
15,1,-1046
13,3,-1015
23,-1,-1052
3,42,-1048
9,-23,-1044
0,27,-1040
0,5,-1034
21,9,-1044
3,31,-1032
-11,-23,-1050
-23,27,-1028
0,-17,-1026
15,13,-1036
9,1,-1028
-7,-15,-1056
-29,31,-1030
-1,-19,-1011
17,25,-1026
27,5,-1024
21,7,-1054
11,33,-1020
17,0,-1038
11,46,-1024
23,-21,-1034
13,17,-1028
-1,1,-1015
-9,9,-1032
-21,42,-1018
-1,-15,-1042
0,42,-1032
13,-5,-1034
13,9,-1052
-1,3,-1018
17,-19,-1040
1,39,-1030
15,-19,-1038
-13,44,-1054
-9,-7,-1038
11,-7,-1052
7,27,-1024
21,-3,-1040
0,48,-1032
9,3,-1042
-1,27,-1042
-11,-1,-1011
15,-19,-1032
13,25,-1011
9,-31,-1038
-40,35,-1042
-31,-9,-1032
-3,7,-1032
13,19,-1007
29,-23,-1040
9,29,-1020
11,-15,-1030
15,27,-1040
0,7,-1022
9,-3,-1040
-3,19,-1015
21,-29,-1032
0,27,-1038
5,-13,-1036
-1,13,-1048
-7,27,-1007
19,-5,-1044
7,33,-1022
21,-21,-1038
9,13,-1040
11,0,-1020
17,1,-1032
-21,23,-1018
3,-21,-1042
5,27,-1034
13,-5,-1038
-1,15,-1038
1,3,-1026
11,-9,-1044
5,35,-1020
25,-19,-1048
-3,25,-1042
-5,-1,-1016
3,-3,-1038
1,23,-1024
21,-11,-1036
9,33,-1032
13,-25,-1034
1,19,-1028
-1,5,-1028
11,-3,-1038
9,44,-1020
19,-15,-1038
0,39,-1022
3,-5,-1020
11,19,-1048
7,19,-1022
17,-7,-1044
5,39,-1024
23,-9,-1028
3,39,-1038
-9,15,-1022
7,3,-1034
7,19,-1015
19,-23,-1038
-3,31,-1032
-1,-5,-1030
9,21,-1038
9,5,-1016
21,-11,-1050
-15,21,-1040
-9,-31,-1044
-9,31,-1040
-3,1,-1030
15,13,-1050
9,29,-1024
23,-9,-1042
-1,31,-1024
13,-17,-1026
3,21,-1038
-1,3,-1022
5,-3,-1036
3,33,-1018
17,-27,-1028
5,23,-1024
9,-19,-1015
1,1,-1040
5,27,-1011
15,-7,-1040
3,27,-1018
13,-19,-1024
11,15,-1046
9,7,-1024
