x,y,z
11,48,-1038
13,-5,-1022
17,25,-1046
3,11,-1024
17,-5,-1046
15,44,-1032
21,-21,-1028
11,44,-1044
7,-3,-1018
19,15,-1040
3,29,-1030
19,-15,-1022
5,48,-1038
5,-13,-1020
0,21,-1040
5,1,-1020
15,-3,-1036
3,29,-1036
13,-21,-1036
5,40,-1042
5,-15,-1026
13,15,-1042
1,11,-1016
5,-7,-1038
3,39,-1036
13,-27,-1026
9,37,-1040
0,-11,-1018
11,13,-1048
5,23,-1038
13,-15,-1024
9,42,-1044
5,-23,-1020
1,33,-1052
3,-3,-1016
7,-5,-1036
0,39,-1030
17,-25,-1028
5,52,-1034
11,-17,-1011
19,25,-1042
11,13,-1022
15,-5,-1030
7,44,-1034
21,-27,-1020
7,37,-1034
3,-3,-1018
19,13,-1042
11,31,-1024
23,-11,-1032
9,46,-1036
17,-23,-1022
19,33,-1050
9,3,-1022
19,7,-1034
11,39,-1032
21,-23,-1026
17,46,-1048
13,-19,-1016
19,29,-1044
17,19,-1028
15,-13,-1036
7,39,-1038
13,-27,-1022
17,33,-1044
19,-11,-1016
27,9,-1040
54,11,-1028
105,-23,-1015
78,39,-1032
154,0,-1013
286,-9,-1044
275,0,-1044
279,23,-1028
337,7,-1052
464,-3,-1071
425,33,-1028
388,-11,-1003
556,-17,-1057
571,42,-1069
482,5,-966
638,-17,-968
735,5,-1073
663,23,-997
626,19,-923
925,-101,-1005
911,64,-1079
720,44,-940
853,-99,-933
1050,-23,-1116
929,89,-1040
815,-11,-892
1079,-93,-1054
1132,85,-1147
892,42,-958
977,-119,-940
1255,-13,-1141
1114,97,-1050
919,25,-890
1225,-203,-1077
1198,97,-1202
993,42,-933
1085,-136,-950
1085,7,-1196
1311,31,-1028
950,-39,-950
1184,-58,-1015
1378,42,-1214
1083,97,-1016
1190,-46,-942
1368,-154,-1220
1262,29,-1097
1179,78,-917
1372,-228,-1005
1356,0,-1190
1153,177,-1036
1130,-54,-907
1341,-122,-1139
1210,62,-1171
1081,-29,-792
1212,-109,-983
1473,91,-1138
1095,0,-964
1220,-13,-897
1565,-46,-1190
1223,89,-1108
1065,13,-899
1368,19,-1046
1208,-87,-1112
1186,66,-933
1104,-83,-915
1239,66,-1106
1504,1,-1124
993,255,-884
1471,-286,-977
1249,48,-1270
1085,85,-897
1315,-5,-968
1175,-101,-1097
1403,-76,-950
1118,54,-929
1442,-9,-950
1362,17,-1300
1042,146,-1020
1399,-7,-907
