x,y,z
-68.0,-99.0,-1239.0
-31.0,201.0,-1034.0
54.0,-54.0,-866.0
31.0,-115.0,-1218.0
-60.0,238.0,-1139.0
23.0,48.0,-827.0
-7.0,-50.0,-1179.0
-7.0,7.0,-1155.0
37.0,68.0,-780.0
-21.0,70.0,-1118.0
-29.0,-23.0,-1223.0
113.0,19.0,-806.0
44.0,87.0,-1108.0
-35.0,158.0,-1229.0
17.0,-105.0,-829.0
76.0,-89.0,-1122.0
-23.0,101.0,-1206.0
81.0,74.0,-821.0
-7.0,-29.0,-1145.0
-29.0,-44.0,-1169.0
128.0,5.0,-864.0
70.0,39.0,-1126.0
-17.0,101.0,-1134.0
-25.0,-27.0,-845.0
13.0,-70.0,-1188.0
-7.0,31.0,-1059.0
56.0,35.0,-872.0
3.0,-21.0,-1200.0
-52.0,37.0,-1018.0
25.0,-115.0,-1009.0
74.0,23.0,-1186.0
23.0,72.0,-909.0
13.0,-33.0,-1098.0
-15.0,46.0,-1143.0
5.0,-58.0,-950.0
37.0,1.0,-1161.0
78.0,40.0,-1044.0
39.0,-37.0,-989.0
33.0,97.0,-1173.0
19.0,-33.0,-936.0
31.0,-62.0,-1071.0
25.0,42.0,-1132.0
-19.0,-29.0,-970.0
31.0,-11.0,-1134.0
-23.0,70.0,-927.0
11.0,5.0,-1052.0
-68.0,-17.0,-1114.0
48.0,7.0,-979.0
11.0,7.0,-1089.0
97.0,-17.0,-1009.0
0.0,83.0,-1007.0
17.0,19.0,-1116.0
-31.0,-44.0,-1040.0
3.0,54.0,-1098.0
91.0,-3.0,-981.0
58.0,5.0,-1009.0
35.0,140.0,-1114.0
23.0,3.0,-1028.0
-1.0,-5.0,-1077.0
-17.0,78.0,-1030.0
-33.0,-50.0,-1050.0
-5.0,-21.0,-1013.0
0.0,95.0,-999.0
48.0,44.0,-1104.0
31.0,-39.0,-1022.0
48.0,66.0,-1073.0
-1.0,105.0,-976.0
23.0,5.0,-1077.0
-68.0,-46.0,-1098.0
-60.0,-15.0,-1032.0
5.0,29.0,-1050.0
136.0,54.0,-931.0
76.0,58.0,-1098.0
74.0,23.0,-1130.0
48.0,-48.0,-1089.0
130.0,0.0,-981.0
29.0,72.0,-1052.0
-50.0,-95.0,-1104.0
-62.0,85.0,-1044.0
-54.0,31.0,-1030.0
54.0,19.0,-976.0
31.0,83.0,-1075.0
60.0,-70.0,-1046.0
44.0,54.0,-1128.0
134.0,-85.0,-946.0
42.0,78.0,-1050.0
60.0,-15.0,-1116.0
-54.0,-44.0,-1095.0
7.0,25.0,-1022.0
-42.0,122.0,-923.0
5.0,-15.0,-1153.0
-40.0,19.0,-1075.0
-7.0,64.0,-1059.0
42.0,72.0,-929.0
37.0,-40.0,-1110.0
0.0,17.0,-1073.0
76.0,-15.0,-1077.0
72.0,-7.0,-972.0
68.0,54.0,-1030.0
0.0,-44.0,-1110.0
42.0,1.0,-1085.0
97.0,-15.0,-942.0
-1.0,81.0,-1024.0
13.0,-21.0,-1151.0
-5.0,-15.0,-1073.0
117.0,-7.0,-968.0
-29.0,78.0,-1028.0
11.0,-3.0,-1173.0
70.0,-13.0,-1052.0
105.0,-46.0,-958.0
7.0,76.0,-1056.0
-39.0,-68.0,-1179.0
68.0,-15.0,-993.0
122.0,13.0,-931.0
-72.0,17.0,-1114.0
-72.0,-19.0,-1138.0
48.0,21.0,-931.0
68.0,-29.0,-985.0
-48.0,40.0,-1155.0
-56.0,25.0,-1079.0
89.0,46.0,-956.0
-27.0,-35.0,-1069.0
-17.0,-23.0,-1138.0
21.0,132.0,-944.0
78.0,-35.0,-1034.0
-48.0,52.0,-1180.0
-7.0,-17.0,-1095.0
111.0,136.0,-878.0
80.0,-62.0,-1126.0
-58.0,76.0,-1147.0
78.0,-93.0,-1018.0
52.0,251.0,-890.0
3.0,-185.0,-1235.0
-27.0,128.0,-1061.0
68.0,-48.0,-870.0
-23.0,122.0,-1100.0
