X1_ActualPosition,X1_ActualVelocity,X1_ActualAcceleration,X1_CommandPosition,X1_CommandVelocity,X1_CommandAcceleration,X1_CurrentFeedback,X1_DCBusVoltage,X1_OutputCurrent,X1_OutputVoltage,X1_OutputPower,Y1_ActualPosition,Y1_ActualVelocity,Y1_ActualAcceleration,Y1_CommandPosition,Y1_CommandVelocity,Y1_CommandAcceleration,Y1_CurrentFeedback,Y1_DCBusVoltage,Y1_OutputCurrent,Y1_OutputVoltage,Y1_OutputPower,Z1_ActualPosition,Z1_ActualVelocity,Z1_ActualAcceleration,Z1_CommandPosition,Z1_CommandVelocity,Z1_CommandAcceleration,Z1_CurrentFeedback,Z1_DCBusVoltage,Z1_OutputCurrent,Z1_OutputVoltage,S1_ActualPosition,S1_ActualVelocity,S1_ActualAcceleration,S1_CommandPosition,S1_CommandVelocity,S1_CommandAcceleration,S1_CurrentFeedback,S1_DCBusVoltage,S1_OutputCurrent,S1_OutputVoltage,S1_OutputPower,S1_SystemInertia,M1_CURRENT_PROGRAM_NUMBER,M1_sequence_number,M1_CURRENT_FEEDRATE,Machining_Process
198.0,0.0,0.0,198.0,0.0,0.0,-0.62,0.0194,327.0,0.709,-1.03e-06,158.0,0.025,12.5,158.0,0.0,0.0,-0.561,0.0175,326.0,1.4,-1.08e-06,119.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,-1510.0,-0.001,-0.5,-1510.0,0.0,0.0,0.444,2.76e-19,327.0,0.0,1.72e-06,12.0,1.0,2.0,6.0,Prep
198.0,0.0,0.0,198.0,0.0,0.0,-0.779,0.0198,328.0,1.04,2.28e-06,158.0,0.025,12.5,158.0,0.0,0.0,0.159,0.0156,326.0,0.144,-1.32e-06,119.0,0.0,6.25,119.0,0.0,0.0,0.0,0.0,0.0,0.0,-1510.0,0.001,0.5,-1510.0,0.0,0.0,-0.4,2.76e-19,328.0,0.0,5.77e-07,12.0,1.0,0.0,6.0,Prep
198.0,0.0,0.0,198.0,0.0,0.0,0.979,0.0192,327.0,2.62,1.15e-06,158.0,0.0,6.25,158.0,0.0,0.0,-0.51,0.0277,326.0,2.18,1.58e-06,119.0,0.0,6.25,119.0,0.0,0.0,0.0,0.0,0.0,0.0,-1510.0,0.0,-0.25,-1510.0,0.0,0.0,0.267,2.76e-19,327.0,0.0,-3.78e-07,12.0,1.0,0.0,6.0,Prep
198.0,0.025,12.5,198.0,0.0,0.0,-0.779,0.0179,327.0,1.84,0.0,158.0,0.025,12.5,158.0,0.0,0.0,0.0251,0.025,326.0,0.642,3.34e-06,119.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,-1510.0,0.001,0.5,-1510.0,0.0,0.0,0.443,2.76e-19,327.0,0.0,0.0,12.0,1.0,0.0,6.0,Prep
198.0,-0.025,-12.5,198.0,0.0,0.0,-1.26,0.0164,328.0,1.35,2.56e-07,158.0,0.0,6.25,158.0,0.0,0.0,-0.0582,0.0166,327.0,1.58,0.0,119.0,-0.025,-6.25,119.0,0.0,0.0,0.0,0.0,0.0,0.0,-1510.0,-0.00175,-0.438,-1510.0,0.0,0.0,0.865,2.76e-19,327.0,0.0,-4.07e-06,12.0,1.0,0.0,6.0,Prep
198.0,0.0,0.0,198.0,0.0,0.0,0.34,0.0207,327.0,1.13,1.69e-06,158.0,0.025,12.5,158.0,0.0,0.0,-0.427,0.0184,326.0,0.942,1.12e-06,119.0,0.0,-6.25,119.0,0.0,0.0,0.0,0.0,0.0,0.0,-1510.0,-0.001,-0.5,-1510.0,0.0,0.0,0.443,2.76e-19,327.0,0.0,1.67e-06,12.0,1.0,0.0,6.0,Prep
198.0,0.0,0.0,198.0,0.0,0.0,-0.46,0.0176,328.0,1.21,1.5e-06,158.0,0.0,6.25,158.0,0.0,0.0,-0.293,0.0205,326.0,0.781,0.0,119.0,-0.025,-12.5,119.0,0.0,0.0,0.0,0.0,0.0,0.0,-1510.0,-0.001,-0.75,-1510.0,0.0,0.0,0.566,2.76e-19,327.0,0.0,1.73e-06,12.0,1.0,0.0,6.0,Prep
198.0,0.0,0.0,198.0,0.0,0.0,-1.9,0.0218,328.0,2.49,1.39e-06,158.0,0.025,12.5,158.0,0.0,0.0,-0.511,0.027,326.0,2.22,-3.14e-06,119.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,-1510.0,-0.001,-0.5,-1510.0,0.0,0.0,0.865,2.76e-19,327.0,0.0,0.0,12.0,1.0,0.0,6.0,Prep
198.0,0.025,18.8,198.0,0.0,0.0,0.0197,0.0166,327.0,1.54,-3.64e-06,158.0,0.025,18.8,158.0,0.0,0.0,0.712,0.0188,326.0,1.37,1.34e-06,119.0,-0.025,-12.5,119.0,0.0,0.0,0.0,0.0,0.0,0.0,-1510.0,0.001,0.0,-1510.0,0.0,0.0,0.267,2.76e-19,328.0,0.0,1.27e-06,12.0,1.0,0.0,6.0,Prep
198.0,0.025,12.5,198.0,0.0,0.0,-1.1,0.0197,328.0,1.13,0.0,158.0,0.0,0.0,158.0,0.0,0.0,0.0249,0.0167,326.0,0.403,1.26e-06,119.0,0.025,12.5,119.0,0.0,0.0,0.0,0.0,0.0,0.0,-1510.0,0.0,-0.25,-1510.0,0.0,0.0,0.566,2.76e-19,328.0,0.0,2.06e-06,12.0,1.0,0.0,6.0,Prep
151.0,-19.6,131.0,150.0,-20.0,0.0,-2.29,0.11,322.0,23.1,0.0037,73.0,0.025,18.8,73.0,0.0,0.0,1.18,0.0173,323.0,0.743,1.98e-07,29.5,0.15,6.25,29.5,0.0,0.0,0.0,0.0,0.0,0.0,-1510.0,20.3,110.0,-1510.0,21.0,100.0,60.1,2.52,317.0,56.4,0.187,12.0,1.0,2.0,20.0,Layer 1 Up
149.0,-20.0,-6.25,148.0,-20.0,0.0,-8.37,0.121,321.0,31.6,0.00506,73.0,0.025,12.5,73.0,0.0,0.0,0.381,0.0146,321.0,0.88,2.47e-07,29.5,0.0,6.25,29.5,0.0,0.0,0.0,0.0,0.0,0.0,-1510.0,30.2,110.0,-1510.0,31.0,100.0,61.5,2.85,313.0,78.5,0.314,12.0,1.0,14.0,20.0,Layer 1 Up
147.0,-20.0,-6.25,146.0,-20.0,0.0,-7.96,0.124,320.0,32.6,0.00512,73.0,0.05,25.0,73.0,0.0,0.0,0.22,0.0168,320.0,0.943,7.6e-07,29.5,0.025,12.5,29.5,0.0,0.0,0.0,0.0,0.0,0.0,-1500.0,40.2,97.7,-1500.0,41.0,100.0,60.6,2.72,311.0,101.0,0.4,12.0,1.0,14.0,20.0,Layer 1 Up
145.0,-19.8,75.0,145.0,-19.6,16.1,-5.53,0.0999,320.0,32.0,0.004,73.1,3.25,113.0,73.1,4.0,82.4,6.94,0.11,319.0,10.1,0.00081,29.5,0.025,12.5,29.5,0.0,0.0,0.0,0.0,0.0,0.0,-1500.0,50.2,144.0,-1500.0,51.0,100.0,66.5,3.07,306.0,120.0,0.56,12.0,1.0,14.0,20.0,Layer 1 Up
144.0,-16.7,37.5,143.0,-16.3,48.3,-3.84,0.0997,323.0,28.5,0.00347,73.8,11.1,-12.5,73.9,11.6,68.7,5.16,0.0773,322.0,20.2,0.00174,29.5,0.025,6.25,29.5,0.0,0.0,0.0,0.0,0.0,0.0,-1490.0,53.3,-10.8,-1490.0,53.3,-9.54e-07,21.9,1.11,318.0,120.0,0.216,12.0,1.0,16.0,20.0,Layer 1 Up
142.0,-10.6,156.0,142.0,-10.1,72.1,-6.66,0.0953,323.0,19.3,0.00204,75.3,17.0,231.0,75.4,17.3,43.0,9.46,0.155,322.0,28.5,0.0054,29.5,0.0,0.0,29.5,0.0,0.0,0.0,0.0,0.0,0.0,-1490.0,53.4,3.44,-1490.0,53.3,0.0,22.1,0.927,319.0,120.0,0.178,12.0,1.0,16.0,20.0,Layer 1 Up
142.0,-3.05,25.0,141.0,-2.18,83.4,-2.64,0.0512,324.0,5.22,0.0003,77.1,19.7,31.3,77.3,19.9,9.87,7.78,0.164,322.0,32.2,0.00681,29.5,-0.025,-12.5,29.5,0.0,0.0,0.0,0.0,0.0,0.0,-1480.0,53.3,4.75,-1480.0,53.3,0.0,24.7,1.08,318.0,118.0,0.209,12.0,1.0,16.0,20.0,Layer 1 Up
142.0,9.85,944.0,142.0,18.0,1000.0,18.9,0.328,323.0,24.5,0.00776,77.9,-0.3,-119.0,77.9,0.0,0.0,-0.0463,0.0236,323.0,0.757,7.94e-07,29.5,0.0,0.0,29.5,0.0,0.0,0.0,0.0,0.0,0.0,-1480.0,53.5,39.6,-1480.0,53.3,0.0,13.4,0.891,319.0,116.0,0.167,12.0,1.0,16.0,20.0,Layer 1 Up
144.0,20.3,68.7,144.0,20.0,0.0,5.01,0.109,323.0,32.0,0.00455,77.9,0.025,12.5,77.9,0.0,0.0,-1.24,0.021,323.0,3.1,-2.54e-06,29.5,0.0,0.0,29.5,0.0,0.0,0.0,0.0,0.0,0.0,-1470.0,53.3,10.4,-1470.0,53.3,0.0,20.5,1.1,316.0,121.0,0.211,12.0,1.0,18.0,20.0,Layer 1 Up
144.0,5.65,100.0,145.0,6.25,96.1,5.64,0.106,323.0,13.3,0.00128,77.3,-20.0,-100.0,77.2,-19.0,30.5,-6.53,0.137,322.0,32.5,0.00541,29.5,0.0,6.25,29.5,0.0,0.0,0.0,0.0,0.0,0.0,-1470.0,53.3,7.94,-1470.0,53.3,-9.54e-07,23.0,1.13,318.0,116.0,0.22,12.0,1.0,18.0,20.0,Layer 1 Up
148.0,-20.1,-25.0,148.0,-20.0,0.0,-7.0,0.124,323.0,32.9,0.00521,89.5,-0.1,-50.0,89.5,0.0,0.0,4.28,0.0731,322.0,7.76,-3.4e-05,29.5,0.0,6.25,29.5,0.0,0.0,0.0,0.0,0.0,0.0,-1360.0,53.3,-28.4,-1350.0,53.3,-9.54e-07,23.5,1.12,318.0,120.0,0.217,12.0,1.0,2.0,20.0,Layer 1 Up
146.0,-20.0,31.3,146.0,-20.0,0.0,-7.0,0.124,323.0,32.1,0.00525,89.5,-0.1,-50.0,89.5,0.0,0.0,5.4,0.0714,323.0,6.39,-3.36e-05,29.5,-0.025,-12.5,29.5,0.0,0.0,0.0,0.0,0.0,0.0,-1350.0,53.4,13.3,-1350.0,53.3,0.0,17.0,0.831,320.0,120.0,0.161,12.0,1.0,23.0,20.0,Layer 1 Up
144.0,-5.57,912.0,144.0,0.0,416.0,8.62,0.123,324.0,9.98,-0.000248,89.5,-0.125,-62.5,89.5,0.0,0.0,4.85,0.0759,323.0,7.36,-3.65e-05,29.5,0.0,0.0,29.5,0.0,0.0,0.0,0.0,0.0,0.0,-1340.0,53.4,23.1,-1340.0,53.3,0.0,19.0,0.976,316.0,121.0,0.186,12.0,1.0,23.0,20.0,Layer 1 Up
143.0,-16.8,93.7,142.0,-16.0,89.5,-4.17,0.0875,323.0,27.2,0.00301,90.0,11.3,119.0,90.1,12.0,124.0,6.28,0.117,322.0,23.0,0.00277,29.5,-0.025,-6.25,29.5,0.0,0.0,0.0,0.0,0.0,0.0,-1340.0,53.4,0.188,-1340.0,53.3,0.0,19.4,0.988,318.0,120.0,0.191,12.0,1.0,23.0,20.0,Layer 1 Up
142.0,-4.57,131.0,142.0,-3.3,150.0,-3.57,0.05,324.0,8.29,0.000394,91.6,19.4,6.25,91.7,19.7,27.5,10.0,0.182,322.0,32.9,0.00765,29.5,-0.025,-12.5,29.5,0.0,0.0,0.0,0.0,0.0,0.0,-1330.0,53.4,10.7,-1330.0,53.3,9.54e-07,19.3,0.799,320.0,120.0,0.154,12.0,1.0,25.0,20.0,Layer 1 Up
141.0,0.0,-6.25,141.0,0.0,0.0,-2.49,0.0335,324.0,4.44,-2.32e-05,93.1,20.0,93.7,93.2,20.0,0.0,5.49,0.145,322.0,34.0,0.00615,29.5,0.0,0.0,29.5,0.0,0.0,0.0,0.0,0.0,0.0,-1330.0,53.2,-50.7,-1330.0,53.3,-9.54e-07,27.9,1.24,318.0,120.0,0.237,12.0,1.0,25.0,20.0,Layer 1 Up
141.0,-0.025,6.25,141.0,0.0,0.0,-2.79,0.0335,324.0,2.7,-1.98e-05,94.4,20.1,150.0,94.6,20.0,0.0,3.7,0.163,321.0,31.5,0.00651,29.5,0.025,12.5,29.5,0.0,0.0,0.0,0.0,0.0,0.0,-1320.0,53.4,10.3,-1320.0,53.3,0.0,20.6,0.961,319.0,120.0,0.186,12.0,1.0,25.0,20.0,Layer 1 Up
141.0,0.0,18.8,141.0,0.0,0.0,-2.24,0.0306,324.0,4.98,-1.25e-05,96.4,20.0,6.25,96.5,20.0,0.0,8.52,0.13,322.0,32.3,0.00548,29.5,0.0,6.25,29.5,0.0,0.0,0.0,0.0,0.0,0.0,-1320.0,53.3,-62.3,-1320.0,53.3,0.0,22.5,0.939,320.0,119.0,0.18,12.0,1.0,27.0,20.0,Layer 1 Up
141.0,0.025,25.0,141.0,0.0,0.0,-2.84,0.0345,323.0,4.0,-1.96e-05,98.3,19.7,-37.5,98.5,20.0,0.0,9.9,0.18,322.0,31.3,0.00773,29.5,0.0,6.25,29.5,0.0,0.0,0.0,0.0,0.0,0.0,-1310.0,53.3,0.5,-1310.0,53.3,0.0,23.4,1.13,318.0,118.0,0.217,12.0,1.0,27.0,20.0,Layer 1 Up
141.0,0.0,12.5,141.0,0.0,0.0,-2.29,0.0304,324.0,4.66,-8.14e-06,100.0,20.0,-12.5,101.0,20.0,0.0,5.99,0.155,322.0,33.4,0.0066,29.5,-0.025,-12.5,29.5,0.0,0.0,0.0,0.0,0.0,0.0,-1310.0,53.3,-5.13,-1310.0,53.3,9.54e-07,25.8,1.01,320.0,122.0,0.193,12.0,1.0,27.0,20.0,Layer 1 Up
198.0,0.0,0.0,198.0,0.0,0.0,-0.14,0.022,327.0,0.554,-3.98e-08,158.0,0.0,0.0,158.0,0.0,0.0,0.158,0.014,326.0,0.171,8.52e-07,119.0,0.025,6.25,119.0,0.0,0.0,0.0,0.0,0.0,0.0,-1510.0,0.0,0.0,-1510.0,0.0,0.0,0.566,2.76e-19,327.0,0.0,5.51e-07,12.0,1.0,2.0,6.0,Layer 1 Up
198.0,0.0,0.0,198.0,0.0,0.0,0.02,0.0192,327.0,0.752,1.22e-06,158.0,-0.05,-12.5,158.0,0.0,0.0,-0.51,0.0247,326.0,2.16,3.26e-07,119.0,0.025,6.25,119.0,0.0,0.0,0.0,0.0,0.0,0.0,-1510.0,0.001,0.5,-1510.0,0.0,0.0,-0.278,2.76e-19,327.0,0.0,8.2e-07,12.0,1.0,0.0,6.0,Layer 1 Up
198.0,0.025,6.25,198.0,0.0,0.0,-0.458,0.0261,328.0,0.582,1.27e-06,158.0,0.0,6.25,158.0,0.0,0.0,0.661,0.0166,326.0,0.705,1.59e-06,119.0,-0.025,-12.5,119.0,0.0,0.0,0.0,0.0,0.0,0.0,-1510.0,0.001,0.0,-1510.0,0.0,0.0,0.566,2.76e-19,327.0,0.0,2.24e-06,12.0,1.0,0.0,6.0,Layer 1 Up
198.0,0.05,12.5,198.0,0.0,0.0,-0.46,0.0212,327.0,1.29,2.06e-06,158.0,0.0,6.25,158.0,0.0,0.0,0.528,0.0223,326.0,0.977,1.46e-06,119.0,-0.025,-12.5,119.0,0.0,0.0,0.0,0.0,0.0,0.0,-1510.0,0.0,0.0,-1510.0,0.0,0.0,0.144,2.76e-19,327.0,0.0,2.48e-07,12.0,1.0,0.0,6.0,Layer 1 Up
198.0,0.0,0.0,198.0,0.0,0.0,-0.3,0.0211,327.0,0.279,0.0,158.0,0.0,6.25,158.0,0.0,0.0,-0.829,0.0147,326.0,2.92,1.21e-06,119.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,-1510.0,-0.001,-0.5,-1510.0,0.0,0.0,-0.278,2.76e-19,327.0,0.0,0.0,12.0,1.0,0.0,6.0,Layer 1 Up
198.0,0.0,0.0,198.0,0.0,0.0,-0.939,0.0196,327.0,0.923,1.04e-07,158.0,-0.025,-12.5,158.0,0.0,0.0,0.795,0.0211,326.0,0.0101,1.29e-06,119.0,0.025,12.5,119.0,0.0,0.0,0.0,0.0,0.0,0.0,-1510.0,-0.002,-0.75,-1510.0,0.0,0.0,0.566,2.76e-19,327.0,0.0,-2.37e-06,12.0,1.0,0.0,6.0,Layer 1 Up
198.0,0.025,12.5,198.0,0.0,0.0,-0.459,0.0179,327.0,1.14,9.62e-07,158.0,0.025,12.5,158.0,0.0,0.0,1.25,0.0212,326.0,1.02,-1.54e-06,119.0,0.025,6.25,119.0,0.0,0.0,0.0,0.0,0.0,0.0,-1510.0,0.001,0.25,-1510.0,0.0,0.0,-1.37,2.76e-19,327.0,0.0,1.27e-06,12.0,1.0,0.0,6.0,Layer 1 Up
198.0,-0.05,-18.8,198.0,0.0,0.0,-2.06,0.0186,328.0,3.98,-9.27e-07,158.0,0.025,6.25,158.0,0.0,0.0,0.712,0.0174,326.0,1.05,-1e-06,119.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,-1510.0,0.001,0.25,-1510.0,0.0,0.0,0.0216,2.76e-19,327.0,0.0,1.22e-06,12.0,1.0,0.0,6.0,Layer 1 Up
198.0,0.0,0.0,198.0,0.0,0.0,-0.939,0.0198,328.0,1.35,0.0,158.0,-0.025,-6.25,158.0,0.0,0.0,0.26,0.0151,326.0,1.56,9.24e-07,119.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,-1510.0,0.0,0.25,-1510.0,0.0,0.0,0.443,2.76e-19,328.0,0.0,-2.7e-06,12.0,1.0,0.0,6.0,Layer 1 Up
